GEOID,NAME,geometry,population_estimate,pov_level_estimate,med_inc_estimate,population_moe,pov_level_moe,med_inc_moe,census_tract,counts
36047073800,"Census Tract 738, Kings County, New York","list(list(c(-73.941681, -73.94072, -73.939557, -73.937226, -73.936637, -73.93538, -73.936336, -73.940805, -73.940851, -73.941229, -73.941681, 40.624907, 40.625015, 40.625158, 40.622958, 40.622401, 40.621216, 40.620611, 40.620125, 40.620458, 40.622517, 40.624907)))",3863,3863,51719,631,631,29420,36047073800,1
36081044302,"Census Tract 443.02, Queens County, New York","list(list(c(-73.867557, -73.866033, -73.86241, -73.861855, -73.860734, -73.860072, -73.8623, -73.864047, -73.86583, -73.866095, -73.86648, -73.86704, -73.867147, -73.867318, -73.867563, -73.867557, 40.741678, 40.742036, 40.74289, 40.741589, 40.739636, 40.738373, 40.737682, 40.737163, 40.736643, 40.737251, 40.738211, 40.739572, 40.739837, 40.740261, 40.740942, 40.741678)))",4272,4272,55667,936,936,17241,36081044302,5
36081008600,"Census Tract 86, Queens County, New York","list(list(c(-73.844724, -73.843074, -73.839764, -73.839521, -73.838035, -73.836981, -73.839874, -73.843329, -73.843356, -73.843643, -73.843837, -73.844055, -73.844383, -73.844928, -73.844724, 40.680707, 40.680463, 40.679997, 40.679962, 40.676636, 40.674678, 40.673979, 40.67374, 40.675049, 40.67605, 40.676744, 40.678054, 40.678773, 40.680274, 40.680707)))",2830,2830,64519,419,419,18344,36081008600,4
36005025000,"Census Tract 250, Bronx County, New York","list(list(c(-73.860121, -73.856895, -73.854408, -73.852897, -73.851368, -73.853046, -73.854573, -73.855383, -73.85619, -73.858617, -73.860121, 40.851627, 40.85308, 40.8542, 40.852264, 40.850304, 40.849547, 40.851509, 40.851144, 40.850779, 40.849687, 40.851627)))",2601,2601,82941,560,560,25574,36005025000,2
36047013300,"Census Tract 133, Kings County, New York","list(list(c(-73.984199, -73.983901, -73.983472, -73.983041, -73.98046, -73.97796, -73.97839, -73.978822, -73.979415, -73.979917, -73.982277, -73.984702, -73.984199, 40.675774, 40.676148, 40.676781, 40.677417, 40.676413, 40.675438, 40.674805, 40.674171, 40.67346, 40.672858, 40.674, 40.675173, 40.675774)))",4567,4560,205556,561,560,33982,36047013300,3
36081081400,"Census Tract 814, Queens County, New York","list(list(c(-73.806789, -73.806453, -73.806197, -73.803597, -73.801793, -73.801393, -73.801255, -73.801221, -73.80166, -73.804491, -73.805452, -73.807143, -73.806789, 40.669244, 40.670729, 40.674784, 40.674551, 40.674394, 40.673117, 40.67126, 40.669108, 40.666756, 40.666862, 40.666896, 40.667669, 40.669244)))",4971,4950,125343,841,844,37919,36081081400,3
36081015300,"Census Tract 153, Queens County, New York","list(list(c(-73.916604, -73.914696, -73.913897, -73.913087, -73.91149, -73.910684, -73.912397, -73.912611, -73.913411, -73.915007, -73.915806, -73.916604, 40.757848, 40.760188, 40.759818, 40.759438, 40.758693, 40.758319, 40.756236, 40.755971, 40.756348, 40.757098, 40.757473, 40.757848)))",1884,1824,89453,294,293,17292,36081015300,3
36047072000,"Census Tract 720, Kings County, New York","list(list(c(-73.924005, -73.920418, -73.918604, -73.918162, -73.917995, -73.920869, -73.921119, -73.924298, -73.924005, 40.628567, 40.630904, 40.632096, 40.628005, 40.626458, 40.626251, 40.628586, 40.628386, 40.628567)))",2109,2109,66285,390,390,14620,36047072000,1
36047013100,"Census Tract 131, Kings County, New York","list(list(c(-73.982182, -73.981755, -73.981324, -73.97956, -73.978676, -73.97618, -73.976616, -73.977102, -73.97796, -73.98046, -73.983041, -73.982182, 40.678686, 40.679317, 40.679952, 40.679287, 40.679047, 40.678065, 40.677431, 40.676707, 40.675438, 40.676413, 40.677417, 40.678686)))",3936,3926,139028,464,464,65516,36047013100,6
36047050700,"Census Tract 507, Kings County, New York","list(list(c(-73.951288, -73.949379, -73.947052, -73.945855, -73.94545, -73.944005, -73.942201, -73.941931, -73.944388, -73.947128, -73.950091, -73.950756, -73.951288, 40.700922, 40.702159, 40.703664, 40.702987, 40.70276, 40.701962, 40.700891, 40.700725, 40.700425, 40.700123, 40.699791, 40.700445, 40.700922)))",3780,3780,50667,891,891,22016,36047050700,4
