"LOCAL.HEALTH.UNIT","OPERATION.NAME","CITY","STATE","ZIP","MUNICIPALITY","COUNTY","VENDOR.TYPE","CREATION.DATE","LOCATION","LAT","LONG","ADDRESS","census_code","census_tract"
"NYC","KANAE KELLEY","BROOKLYN","NY",11233,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","1922 FULTON STREET BROOKLYN, NY 11233 (40.678788335, -73.922231846)",40.678788335,-73.922231846,"1922 FULTON STREET BROOKLYN, NY 11233 ","360470299001000","029900"
"GLENS FALLS DO","COBBLE POND FARMS","QUEENSBURY","NY",12804,"QUEENSBURY","WARREN","CONVENIENCE/GAS","07/10/2023","107 MAIN STREET QUEENSBURY, NY 12804 (43.29824539500004, -73.67746770099996)",43.298245395,-73.677467701,"107 MAIN STREET QUEENSBURY, NY 12804 ","361130708021005","070802"
"NYC","MAYSA GOURMET DEI 2 CORP","BRONX","NY",10451,"BRONX","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","243 EAST 138TH STREET BRONX, NY 10451 (40.811760859, -73.927881501)",40.811760859,-73.927881501,"243 EAST 138TH STREET BRONX, NY 10451 ","360050051002010","005100"
"NYC","OMEGA GRILL 1 CORP","BRONX","NY",10457,"BRONX","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","253 EAST 172ND STREET BRONX, NY 10457 (40.840479397, -73.910708993)",40.840479397,-73.910708993,"253 EAST 172ND STREET BRONX, NY 10457 ","360050225001001","022500"
"NYC","GORKHA MINI MART INC","ELMHURST","NY",11373,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","8542 GRAND AVENUE ELMHURST, NY 11373 (40.735554817, -73.880760117)",40.735554817,-73.880760117,"8542 GRAND AVENUE ELMHURST, NY 11373 ","360810479003000","047900"
"NYC","LIRIANO DELI CORP","BROOKLYN","NY",11211,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","361 SOUTH 4TH STREET BROOKLYN, NY 11211 (40.708555826, -73.953471116)",40.708555826,-73.953471116,"361 SOUTH 4TH STREET BROOKLYN, NY 11211 ","360470527006000","052700"
"NYC","LOS MELLIZOS GROCERY STORE CORP","BRONX","NY",10456,"BRONX","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","199 EAST 165TH STREET BRONX, NY 10456 (40.830578064, -73.919051082)",40.830578064,-73.919051082,"199 EAST 165TH STREET BRONX, NY 10456 ","360050181022001","018102"
"NYC","B FAMOUS GOURMET DELI CORP","BRONX","NY",10470,"BRONX","NEW YORK CITY","GROCERY SUPERMARKET","07/10/2023","4201A ONIEDA AVENUE BRONX, NY 10470 (40.896300179, -73.872534111)",40.896300179,-73.872534111,"4201A ONIEDA AVENUE BRONX, NY 10470 ","360050449012003","044901"
"NYC","MINI CLOUDS CORP.","ASTORIA","NY",11106,"QUEENS","NEW YORK CITY","RETAIL ELECTRONIC CIGARETTE STORE","07/10/2023","34-43 VERNON BOULEVARD ASTORIA, NY 11106 (40.764351893, -73.940838079)",40.764351893,-73.940838079,"34-43 VERNON BOULEVARD ASTORIA, NY 11106 ","360810039001002","003900"
"NYC","CARILUIS CORP","JAMAICA","NY",11436,"QUEENS","NEW YORK CITY","CONVENIENCE STORE","07/10/2023","114-18 ROCKAWAY BOULEVARD JAMAICA, NY 11436 (40.676853333, -73.823980616)",40.676853333,-73.823980616,"114-18 ROCKAWAY BOULEVARD JAMAICA, NY 11436 ","360810840003004","084000"
