GEOID,NAME,pov_level_estimate,med_inc_estimate,pov_level_moe,med_inc_moe,census_tract,counts
36081028300,"Census Tract 283, Queens County, New York",7721,71484,1138,6405,36081028300,4
36005005400,"Census Tract 54, Bronx County, New York",5638,45625,820,7008,36005005400,5
36085020806,"Census Tract 208.06, Richmond County, New York",2479,79744,678,43889,36085020806,2
36061006500,"Census Tract 65, New York County, New York",4884,106561,670,13731,36061006500,5
36047014500,"Census Tract 145, Kings County, New York",4048,106667,684,23441,36047014500,5
36061008200,"Census Tract 82, New York County, New York",3567,165911,913,50149,36061008200,1
36005007300,"Census Tract 73, Bronx County, New York",4247,25619,661,6243,36005007300,3
36081086100,"Census Tract 861, Queens County, New York",2266,52019,432,15109,36081086100,1
36005006200,"Census Tract 62, Bronx County, New York",6710,24769,809,9198,36005006200,6
36047049200,"Census Tract 492, Kings County, New York",2936,72058,554,29225,36047049200,3
36081104700,"Census Tract 1047, Queens County, New York",7009,59973,1251,22681,36081104700,4
36081052000,"Census Tract 520, Queens County, New York",1437,75625,299,24120,36081052000,1
36005014900,"Census Tract 149, Bronx County, New York",4489,24375,1187,10698,36005014900,3
36047030300,"Census Tract 303, Kings County, New York",4936,38308,588,13504,36047030300,1
36005040600,"Census Tract 406, Bronx County, New York",3990,45982,678,7854,36005040600,5
36081005100,"Census Tract 51, Queens County, New York",2294,70313,335,16871,36081005100,5
36005016200,"Census Tract 162, Bronx County, New York",1524,85909,330,19994,36005016200,2
36081029500,"Census Tract 295, Queens County, New York",3953,78185,610,3706,36081029500,2
36081004200,"Census Tract 42, Queens County, New York",4136,69886,674,28831,36081004200,1
36005023000,"Census Tract 230, Bronx County, New York",2963,51490,479,6864,36005023000,2
36047090200,"Census Tract 902, Kings County, New York",3443,37557,972,17150,36047090200,2
36047003000,"Census Tract 30, Kings County, New York",1736,99511,288,32929,36047003000,1
36005021900,"Census Tract 219, Bronx County, New York",945,40587,226,15035,36005021900,5
36081133300,"Census Tract 1333, Queens County, New York",4115,118562,720,8107,36081133300,2
36047054900,"Census Tract 549, Kings County, New York",4536,122717,833,34109,36047054900,5
36047119200,"Census Tract 1192, Kings County, New York",3421,85071,777,59465,36047119200,2
36047067800,"Census Tract 678, Kings County, New York",3311,89844,567,19272,36047067800,1
36005043102,"Census Tract 431.02, Bronx County, New York",4601,32759,650,3308,36005043102,5
36081012200,"Census Tract 122, Queens County, New York",3504,85357,887,30008,36081012200,5
36081017400,"Census Tract 174, Queens County, New York",2483,82300,416,25135,36081017400,1
36005022401,"Census Tract 224.01, Bronx County, New York",2504,50262,386,14971,36005022401,3
36081032700,"Census Tract 327, Queens County, New York",3405,55395,748,10136,36081032700,2
36047034200,"Census Tract 342, Kings County, New York",6530,20469,1376,4360,36047034200,6
36081079900,"Census Tract 799, Queens County, New York",3383,46273,651,8869,36081079900,3
36005032400,"Census Tract 324, Bronx County, New York",3286,23741,575,9767,36005032400,2
36047031500,"Census Tract 315, Kings County, New York",5342,78851,697,17503,36047031500,4
36061006400,"Census Tract 64, New York County, New York",7087,102312,1007,11351,36061006400,3
36081136700,"Census Tract 1367, Queens County, New York",6585,86470,1338,16771,36081136700,3
36005020900,"Census Tract 209, Bronx County, New York",4997,39489,733,13881,36005020900,4
36005021502,"Census Tract 215.02, Bronx County, New York",6605,26176,899,12806,36005021502,6
36081114100,"Census Tract 1141, Queens County, New York",2484,106705,373,37031,36081114100,1
36047079001,"Census Tract 790.01, Kings County, New York",1747,97576,1090,53148,36047079001,3
36047057300,"Census Tract 573, Kings County, New York",2535,93036,323,55637,36047057300,3
36081065703,"Census Tract 657.03, Queens County, New York",3057,103288,898,20528,36081065703,3
36047050401,"Census Tract 504.01, Kings County, New York",3171,128443,404,38425,36047050401,1
36081003000,"Census Tract 30, Queens County, New York",1679,79833,530,40797,36081003000,1
36081130100,"Census Tract 1301, Queens County, New York",4075,87083,744,25794,36081130100,2
36047025700,"Census Tract 257, Kings County, New York",2584,99821,483,32924,36047025700,6
36081016300,"Census Tract 163, Queens County, New York",3675,30214,699,11423,36081016300,2
36005007800,"Census Tract 78, Bronx County, New York",6245,54615,743,10950,36005007800,6
36047120200,"Census Tract 1202, Kings County, New York",2134,80170,380,39866,36047120200,1
36047025600,"Census Tract 256, Kings County, New York",3125,52052,812,17367,36047025600,1
36047024100,"Census Tract 241, Kings County, New York",2836,71000,664,14218,36047024100,2
36047036200,"Census Tract 362, Kings County, New York",3852,53464,615,15434,36047036200,2
36005045101,"Census Tract 451.01, Bronx County, New York",1480,54986,314,29084,36005045101,1
36081028900,"Census Tract 289, Queens County, New York",5631,76424,1433,16437,36081028900,10
36081032000,"Census Tract 320, Queens County, New York",4674,76875,730,15660,36081032000,5
36005021501,"Census Tract 215.01, Bronx County, New York",4240,36607,714,13529,36005021501,3
36047073600,"Census Tract 736, Kings County, New York",3186,61292,538,17419,36047073600,2
36081047200,"Census Tract 472, Queens County, New York",3613,100475,568,20597,36081047200,2
36081063200,"Census Tract 632, Queens County, New York",2553,111667,390,24405,36081063200,4
36005024502,"Census Tract 245.02, Bronx County, New York",3820,42396,684,27827,36005024502,3
36005038100,"Census Tract 381, Bronx County, New York",7697,38937,1215,11948,36005038100,8
36047003300,"Census Tract 33, Kings County, New York",4563,126101,580,38204,36047003300,6
36047021500,"Census Tract 215, Kings County, New York",6271,104796,800,34524,36047021500,3
36047039000,"Census Tract 390, Kings County, New York",2592,69408,481,5861,36047039000,2
36081010200,"Census Tract 102, Queens County, New York",2833,92096,502,12520,36081010200,2
36061024200,"Census Tract 242, New York County, New York",5500,37115,973,5579,36061024200,1
36047078801,"Census Tract 788.01, Kings County, New York",2150,51838,430,9935,36047078801,2
36061019600,"Census Tract 196, New York County, New York",3619,20093,709,4455,36061019600,4
36081044400,"Census Tract 444, Queens County, New York",4387,49911,903,22695,36081044400,2
36005022901,"Census Tract 229.01, Bronx County, New York",5516,41317,643,13157,36005022901,2
36047049500,"Census Tract 495, Kings County, New York",2522,89375,390,16346,36047049500,6
36047088600,"Census Tract 886, Kings County, New York",4041,42344,915,17171,36047088600,1
36047056400,"Census Tract 564, Kings County, New York",2726,78409,389,13372,36047056400,2
